Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	144 - Day One Hundred Forty Four	8/23/2009 1:41:24 PM 	13:11:18	42.6 km	3 kph

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	N46 28.608 E9 38.762	8/23/2009 8:06:54 PM 	1756 m			115 m	0:02:05	3 kph	170° true
Trackpoint	N46 28.547 E9 38.791	8/23/2009 8:13:28 PM 	1760 m			120 m	0:06:34	1.1 kph	162° true
Trackpoint	N46 28.480 E9 38.823	8/23/2009 8:14:38 PM 	1760 m			131 m	0:01:10	7 kph	162° true
Trackpoint	N46 28.428 E9 38.852	8/23/2009 8:15:33 PM 	1761 m			103 m	0:00:55	7 kph	159° true
Trackpoint	N46 28.403 E9 38.924	8/23/2009 8:16:13 PM 	1759 m			104 m	0:00:40	9 kph	117° true
Trackpoint	N46 28.362 E9 38.976	8/23/2009 8:16:53 PM 	1757 m			100 m	0:00:40	9 kph	139° true
Trackpoint	N46 28.263 E9 38.983	8/23/2009 8:17:57 PM 	1758 m			184 m	0:01:04	10 kph	177° true
Trackpoint	N46 28.166 E9 38.999	8/23/2009 8:19:02 PM 	1761 m			182 m	0:01:05	10 kph	173° true
Trackpoint	N46 28.106 E9 39.023	8/23/2009 8:19:42 PM 	1761 m			115 m	0:00:40	10 kph	165° true
Trackpoint	N46 28.048 E9 39.044	8/23/2009 8:20:32 PM 	1763 m			111 m	0:00:50	8 kph	166° true
Trackpoint	N46 28.004 E9 39.105	8/23/2009 8:21:47 PM 	1772 m			113 m	0:01:15	5 kph	136° true
Trackpoint	N46 27.970 E9 39.199	8/23/2009 8:23:17 PM 	1781 m			136 m	0:01:30	5 kph	118° true
Trackpoint	N46 27.916 E9 39.203	8/23/2009 8:24:17 PM 	1785 m			100 m	0:01:00	6 kph	177° true
Trackpoint	N46 27.860 E9 39.239	8/23/2009 8:25:27 PM 	1790 m			113 m	0:01:10	6 kph	156° true
Trackpoint	N46 27.799 E9 39.292	8/23/2009 8:26:32 PM 	1790 m			132 m	0:01:05	7 kph	150° true
